Country,Code,co2,inde_pib,expo_tec,inv,gdpppa
Aruba,ABW,8.408362637892,,1663353,,38215.6376497119
Afganistán,AFG,0.299444990875517,,,,1933.02114129523
Angola,AGO,1.29132831504477,,,,7204.94491457712
Albania,ALB,1.97876331208568,,917486,,11259.2898237898
Andorra,AND,5.83216995064565,,16200929,,
Emiratos Árabes Unidos,ARE,23.3020225078816,0.6936,1555995856,,67567.7611104212
Argentina,ARG,4.74679745467325,0.59278,1473214194,1202.02836,19863.073956337
Armenia,ARM,1.9027589101995,0.24151,8317916,,8422.95523632537
Antigua y Barbuda,ATG,5.37764854614412,,,,20596.0392236786
Australia,AUS,15.3887660194467,,4691411621,,46799.4538728693
Austria,AUT,6.8698679296767,3.06921,19269819029,4937.55516,48799.7154676985
Azerbaiyán,AZE,3.93156060898919,0.20978,32605511,,17662.5897218637
Burundi,BDI,0.044485376256471,,345775,,808.131255678429
Bélgica,BEL,8.32815989783976,2.38746,43698592018,4529.75049,44604.5110502539
Benin,BEN,0.61421385181193,,3979179,,2114.50697170292
Burkina Faso,BFA,0.162018806234081,0.22183,13333668,,1672.02718832944
Bangladesh,BGD,0.459141964802809,,,,3141.56579597516
Bulgaria,BGR,5.87161586934993,0.79492,1079617724,1827.85031,17534.3888023054
Bahrein,BHR,23.4497548258489,0.10116,46729049,368.90235,46322.2335991684
Bahamas,BHS,6.3232575117291,,,,30069.8715007085
Bosnia y Herzegovina,BIH,6.23471916168303,0.25725,91727882,285.5018,11164.2227562508
Belarús,BLR,6.70195770525782,0.50548,660475200,,18949.881851571
Belice,BLZ,1.407601494481,,,,8363.46599279046
Bermudas,BMU,8.83831498794885,0.21474,2491211,,
Bolivia,BOL,1.93241949870287,,33144149,,6683.34571855805
Brasil,BRA,2.59438828549778,1.26991,8228775104,881.37818,16242.2870536238
Barbados,BRB,4.49017767348307,,24928712,,17287.9413379786
Brunei Darussalam,BRN,22.1247012416688,,55449872,,80402.3551795274
Bhután,BTN,1.28932137116716,,,,7783.98478531065
Botswana,BWA,3.24328763661634,,16518448,,16461.9000466127
República Centroafricana,CAF,0.066593110852834,,,,630.983363213519
Canadá,CAN,15.1171587794778,1.71824,26552175610,4552.48528,45519.7939192537
Suiza,CHE,4.31156299409097,,55906710140,,61902.1624060426
Islas del Canal,CHI,,,,,
Chile,CHL,4.68737662371284,0.37497,684468180,430.64193,22978.1913015912
China,CHN,7.54390764144927,2.02114,558599126108,1096.51745,13481.862918556
Côte d'Ivoire,CIV,0.490206046242236,,72379188,,3227.67907144953
Camerún,CMR,0.314928068034826,,26702495,,3377.54506967235
"Congo, República Democrática del",COD,0.063369191048747,,,,829.864211724295
"Congo, República del",COG,0.635369293307612,,47798389,,5851.97364364403
Colombia,COL,1.75953717356061,0.30799,724222055,57.29003,13383.6981204963
Comoras,COM,0.202814119320239,,,,2668.91272044632
Cabo Verde,CPV,0.933403237234465,,331,,6264.23488808358
Costa Rica,CRI,1.63095106225335,0.57209,2387759041,572.98098,15187.090383441
Cuba,CUB,3.04521062360798,0.41596,,,
Curacao,CUW,37.7262890532298,,,,
Islas Caimán,CYM,9.17183803150139,,,,53174.5685513582
Chipre,CYP,5.26035204098901,0.50847,29195221,1064.92501,30390.6080662609
República Checa,CZE,9.16597837581982,1.97285,23084215820,3400.44455,32263.3157548997
Alemania,DEU,8.88937039483839,2.87289,199718151684,4318.62153,47190.7693532848
Dominica,DMA,1.86428591057737,,,,10834.107016391
Dinamarca,DNK,5.9357124821143,2.91404,9762544928,7311.02202,47901.4475803125
República Dominicana,DOM,2.0699866344335,,193265639,,13380.8380426073
Argelia,DZA,3.71740990081817,,3308544,,14247.6315472934
Ecuador,ECU,2.76170217502084,0.44266,74240721,400.71402,11519.3579304291
"Egipto, República Árabe de",EGY,2.19898024634231,0.63649,176345548,665.03478,10440.910672144
España,ESP,5.03382448723757,1.23535,15400981205,2627.48464,33709.6492402637
Estonia,EST,14.848819173174,1.45063,1328425394,3279.07649,28964.1793271657
Etiopía,ETH,0.119124014522654,,23602365,,1505.275311729
Unión Europea,EUU,6.37914884774526,2.03718496592205,693205019706,3489.28930120921,37564.9626308165
Finlandia,FIN,8.66072124349448,3.16931,3961279492,7011.46232,41470.2023590157
Fiji,FJI,1.32057470823182,,3246115,,8688.32655571509
Francia,FRA,4.5731821471024,2.27592,114697237252,4233.83036,40141.5903200769
Gabón,GAB,2.7682657208219,,,,17623.9288376817
Reino Unido,GBR,6.49744049045117,1.66568,70652924421,4254.10877,40867.4760340878
Georgia,GEO,2.41646049619644,0.1849,25939625,1070.87662,9263.95202315863
Ghana,GHA,0.536533377780147,,,,4045.10165302662
Guinea,GIN,0.207492620606193,,3445207,,1833.06911350052
Gambia,GMB,0.267684889136388,,0,,1608.21563173043
Guinea-Bissau,GNB,0.157241166708388,,,,1477.513913572
Guinea Ecuatorial,GNQ,4.7338165294876,,,,33330.4755843341
Grecia,GRC,6.18033726778447,0.8333,1209944931,2652.26957,26838.4552283268
Granada,GRD,2.27549830763445,,,,12721.0020375375
Groenlandia,GRL,8.98918198774314,,199043,,
Guatemala,GTM,1.15097799430391,0.02905,211783122,20.28441,7552.56786634391
Guam,GUM,,,,,
Guyana,GUY,2.63234795184132,,105393,,7297.47455865793
Ingreso alto,HIC,10.712692294652,2.45230105654975,1325309912537,4019.55844690575,43700.086149216
"Hong Kong, Región Administrativa Especial",HKG,6.39360052562418,0.74014,467221867,3312.3624,55781.7574448401
